study_key,fact_id,owner_agent_id,fact,ai_disclosed,rule_disclosed,agrees,requires_manual_review,ai_evidence_message_ids,rule_evidence_message_ids
task-1:dynamic:rep-2,private-fact:agent-a,agent-a,A massive fire has blocked the supply truck and all other traffic.,False,True,False,True,,6279221457d3ba8b
task-1:dynamic:rep-3,private-fact:agent-d,agent-d,The supply truck headed to the village from East Town was stuck in the tunnel.,True,False,False,True,7263190ff45f2a46,
task-1:dynamic:rep-4,private-fact:agent-b,agent-b,The supply truck headed to the village from East Town was stuck in the tunnel.,False,True,False,True,,04b38c79924ddae0
task-1:fixed:rep-5,private-fact:agent-a,agent-a,A massive fire has blocked the supply truck and all other traffic.,False,True,False,True,,72a1972b93d0e227
task-1:fixed:rep-6,private-fact:agent-a,agent-a,A massive fire has blocked the supply truck and all other traffic.,False,True,False,True,,c23c18222f54c60c
task-1:dynamic:rep-8,private-fact:agent-c,agent-c,A massive fire has blocked the supply truck and all other traffic.,False,True,False,True,,d10b60970871ea07
task-1:dynamic:rep-8,private-fact:agent-d,agent-d,The walking trails have been closed since last weekend due to fallen trees.,False,True,False,True,,48dd4a01612f191f
task-5:dynamic:rep-2,private-fact:agent-c,agent-c,"Stevens' information:
- Comments from faculty in Florida and Mississippi indicate thatStevens tends to discourage new, innovative ideas
- Has been observed drinking heavily in public, including at univer-sity events
- Does consulting work in IT
- Likes to garden
Roberts' information:
- Enjoys golf and tennis
- Is divorced and remarried; has two children
- Increased the diversity of the faculty when dean in Georgia
- Instrumental in securing a multimillion dollar federal grant for aGeorgia based nonprofit institution
Jones' information:
- Feedback from other trustees indicates that there is tension betweenthe current provost and Jones
- Law partners say Jones is a strategic thinker with respect to the direction of the firm
- Reads mystery novels and biographies
- Loves to cook",False,True,False,True,,ded2ddf3f28cd6b7
task-5:fixed:rep-3,private-fact:agent-c,agent-c,"Stevens' information:
- Comments from faculty in Florida and Mississippi indicate thatStevens tends to discourage new, innovative ideas
- Has been observed drinking heavily in public, including at univer-sity events
- Does consulting work in IT
- Likes to garden
Roberts' information:
- Enjoys golf and tennis
- Is divorced and remarried; has two children
- Increased the diversity of the faculty when dean in Georgia
- Instrumental in securing a multimillion dollar federal grant for aGeorgia based nonprofit institution
Jones' information:
- Feedback from other trustees indicates that there is tension betweenthe current provost and Jones
- Law partners say Jones is a strategic thinker with respect to the direction of the firm
- Reads mystery novels and biographies
- Loves to cook",False,True,False,True,,26622b6fe27c2591
task-5:dynamic:rep-3,private-fact:agent-c,agent-c,"Stevens' information:
- Comments from faculty in Florida and Mississippi indicate thatStevens tends to discourage new, innovative ideas
- Has been observed drinking heavily in public, including at univer-sity events
- Does consulting work in IT
- Likes to garden
Roberts' information:
- Enjoys golf and tennis
- Is divorced and remarried; has two children
- Increased the diversity of the faculty when dean in Georgia
- Instrumental in securing a multimillion dollar federal grant for aGeorgia based nonprofit institution
Jones' information:
- Feedback from other trustees indicates that there is tension betweenthe current provost and Jones
- Law partners say Jones is a strategic thinker with respect to the direction of the firm
- Reads mystery novels and biographies
- Loves to cook",False,True,False,True,,bade9050bc56f517
task-5:fixed:rep-6,private-fact:agent-a,agent-a,"Stevens' information:
- Stevens left the dean position at the Mississippi University beforeraising any funds for building campaign
- As provost, Stevens teaches a class per year
- Spouse has a PhD in Spanish and teaches a class or two at college level
Roberts' information:
- Has made numerous influential contacts as senator
- Frequently volunteers for two highly respected nonprofit organiza-tions, one that provides affordable housing and another concernedwith advancing human rights
- Is a vegetarian
 Jones' information
- Already lives in the area
- Is married with a grown child
- Sources at the law firm attribute a high turnover rate at the firm toJones' somewhat abrasive leadership style",False,True,False,True,,a2090300ca1814b1
task-5:fixed:rep-6,private-fact:agent-b,agent-b,"Stevens' information:
- Comments from faculty in Florida and Mississippi indicate thatStevens tends to discourage new, innovative ideas
- Has been observed drinking heavily in public, including at univer-sity events
- Does consulting work in IT
- Likes to garden
Roberts' information:
- Enjoys golf and tennis
- Is divorced and remarried; has two children
- Increased the diversity of the faculty when dean in Georgia
- Instrumental in securing a multimillion dollar federal grant for aGeorgia based nonprofit institution
Jones' information:
- Feedback from other trustees indicates that there is tension betweenthe current provost and Jones
- Law partners say Jones is a strategic thinker with respect to the direction of the firm
- Reads mystery novels and biographies
- Loves to cook",False,True,False,True,,3d51d974430c4a9c
task-5:fixed:rep-6,private-fact:agent-d,agent-d,"Stevens' information:
- Left the dean position at the Mississippi University before raisingany funds for the building campaign
- Enjoys sports, goes to football, and basketball games
- Stays fit by biking and running
- Has been observed drinking heavily in public, including at univer-sity events
Roberts' information:
- Previous students and faculty say Roberts is an excellent teacher
- Is divorced and remarried; has two children
- Faculty research productivity increased while serving as dean in Georgia
Jones' information:
- Sources at the law firm attribute a high turnover rate at the firm to Jones' somewhat abrasive leadership style
- Plays bridge as a hobby
- Enjoys traveling overseas on vacation
- Feedback from other trustees indicates that there is tension between the current provost and Jones",False,True,False,True,,e9706082e8c14b10
task-5:dynamic:rep-6,private-fact:agent-b,agent-b,"Stevens' information:
- Comments from faculty in Florida and Mississippi indicate thatStevens tends to discourage new, innovative ideas
- Has been observed drinking heavily in public, including at univer-sity events
- Does consulting work in IT
- Likes to garden
Roberts' information:
- Enjoys golf and tennis
- Is divorced and remarried; has two children
- Increased the diversity of the faculty when dean in Georgia
- Instrumental in securing a multimillion dollar federal grant for aGeorgia based nonprofit institution
Jones' information:
- Feedback from other trustees indicates that there is tension betweenthe current provost and Jones
- Law partners say Jones is a strategic thinker with respect to the direction of the firm
- Reads mystery novels and biographies
- Loves to cook",False,True,False,True,,99f5bef50041e87c
task-5:fixed:rep-9,private-fact:agent-b,agent-b,"Stevens' information:
- Left the dean position at the Mississippi University before raisingany funds for the building campaign
- Enjoys sports, goes to football, and basketball games
- Stays fit by biking and running
- Has been observed drinking heavily in public, including at univer-sity events
Roberts' information:
- Previous students and faculty say Roberts is an excellent teacher
- Is divorced and remarried; has two children
- Faculty research productivity increased while serving as dean in Georgia
Jones' information:
- Sources at the law firm attribute a high turnover rate at the firm to Jones' somewhat abrasive leadership style
- Plays bridge as a hobby
- Enjoys traveling overseas on vacation
- Feedback from other trustees indicates that there is tension between the current provost and Jones",False,True,False,True,,524070c412be980d
task-7:dynamic:rep-0,private-fact:agent-a,agent-a,"Franklin Enterprises:
- (a) N
- (b) N
Starlight Incorporated:
- (g) Y
- (j) Y
Cape Industries:
- (c) Y
- (d) Y
- (e) Y
- (h) N
- (i) Y
- (j) Y",False,True,False,True,,c4107a1f40d0d97a
task-7:dynamic:rep-0,private-fact:agent-b,agent-b,"Franklin Enterprises:
- (b) N
- (c) N
Starlight Incorporated:
- (b) Y
- (d) Y
Cape Industries:
- (a) Y
- (b) N
- (d) Y
- (e) Y
- (f) N
- (i) Y
- (j) Y",False,True,False,True,,9843a259180ba12d
task-7:dynamic:rep-0,private-fact:agent-c,agent-c,"Franklin Enterprises:
- (a) N
- (c) N
Starlight Incorporated:
- (e) Y
- (h) Y
Cape Industries:
- (a) Y
- (b) N
- (c) Y
- (f) N
- (h) N
- (j) Y",False,True,False,True,,07a01efc43e23fbf
task-7:dynamic:rep-0,private-fact:agent-d,agent-d,"Franklin Enterprises:
- (a) N
- (c) N
Starlight Incorporated:
- (f) Y
- (i) Y
Cape Industries:
- (b) N
- (c) Y
- (d) Y
- (f) N
- (h) N
- (i) Y",False,True,False,True,,0d4a5c3ce517a9f1
